time,m1,m2,m3,p1,p2,p3
3.67,11,15,12,14,8,15
3.675,11,15,12,14,7,15
3.68,11,15,12,14,6,17
3.685,11,15,12,15,6,17
3.69,11,14,12,15,7,17
3.695,11,14,12,14,7,15
3.7,11,14,12,14,7,15
3.705,11,14,12,14,7,13
3.71,11,15,12,13,8,12
3.715,11,15,12,14,8,12
3.72,11,15,12,13,9,12
3.725,11,15,12,13,9,14
3.73,11,15,12,11,9,14
3.735,11,14,12,11,10,14
3.74,11,14,12,10,11,14
3.745,11,14,12,10,11,15
3.75,11,14,12,10,9,14
3.755,11,15,11,12,8,14
3.76,11,16,11,11,8,14
3.765,11,16,11,11,9,14
3.77,10,17,11,11,9,15
3.775,10,17,11,10,11,15
3.78,10,17,11,9,12,16
3.785,10,17,11,10,12,16
3.79,10,17,11,10,11,15
3.795,10,17,11,9,13,14
3.8,10,17,11,9,14,14
3.805,10,17,11,9,14,13
3.81,10,17,10,11,16,13
3.815,9,17,10,11,15,13
3.82,9,17,10,11,15,14
3.825,9,17,10,11,14,14
3.83,9,17,10,10,14,13
3.835,10,17,10,11,14,13
3.84,10,17,10,11,13,13
3.845,10,16,10,11,12,12
3.85,10,16,10,11,11,12
3.855,10,16,10,11,12,11
3.86,10,16,10,10,12,11
3.865,10,16,10,10,11,11
3.87,10,16,10,9,10,10
3.875,10,16,10,10,11,10
3.88,10,16,10,10,11,8
3.885,10,16,10,10,12,9
3.89,10,16,10,11,12,10
3.895,10,16,10,11,12,10
3.9,10,16,10,11,12,10
3.905,10,16,10,12,11,10
3.91,10,16,10,12,12,10
3.915,10,16,10,12,13,9
3.92,10,16,10,12,12,11
3.925,10,16,10,12,11,11
3.93,10,16,10,11,10,11
3.935,10,16,10,11,10,10
3.94,10,16,10,12,10,11
3.945,10,16,10,12,11,10
3.95,10,16,9,11,12,9
3.955,10,16,9,11,12,9
3.96,10,16,8,10,10,8
3.965,10,16,8,10,10,7
3.97,10,16,8,10,11,8
3.975,11,16,8,10,11,8
3.98,11,16,8,10,11,9
3.985,11,15,8,10,11,8
3.99,11,15,8,11,11,8
3.995,11,15,8,11,12,8
4,11,15,9,10,10,8
4.005,11,15,9,9,13,8
4.01,11,15,9,9,13,7
4.015,11,15,9,8,13,7
4.02,11,15,9,9,13,7
4.025,11,15,9,9,13,8
4.03,11,15,9,9,13,8
4.035,11,16,9,9,12,7
4.04,11,16,9,9,13,8
4.045,11,16,9,10,13,9
4.05,11,17,9,11,14,9
4.055,12,17,9,11,15,9
4.06,12,17,9,12,14,9
4.065,12,17,10,13,13,9
4.07,12,17,10,13,14,10
4.075,12,17,10,13,13,10
4.08,12,17,9,13,13,9
4.085,12,17,9,13,14,9
4.09,12,17,9,13,15,9
4.095,12,16,9,12,15,9
4.1,13,15,9,12,15,9
4.105,13,15,9,14,15,9
4.11,13,15,9,15,16,9
4.115,13,14,9,13,15,9
4.12,13,14,9,13,15,9
4.125,13,14,9,13,14,10
